data_format,postcode,year_completed,clue_small_area,clue_block,street_address,property_id,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student accommodation units,intitutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application_no,Location 1
Pre May 16,3000,2007.0,Melbourne (CBD),45,Centrepoint Mall 283-297 Bourke Street MELBOURNE VIC 3000,101140,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,0,0,0,0,0,0,0,0,0,0,"(-37.81420896, 144.9652244)"
Pre May 16,3000,2005.0,Melbourne (CBD),44,359-385 Bourke Street MELBOURNE VIC 3000,101146,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,"(-37.81492946, 144.9629215)"
Pre May 16,3000,2007.0,Melbourne (CBD),44,393-403 Bourke Street MELBOURNE VIC 3000,101147,8.0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6197,0,0,0,0,0,0,0,0,0,0,"(-37.81513916, 144.9621906)"
Pre May 16,3000,2005.0,Melbourne (CBD),43,RACV Building 483-501 Bourke Street MELBOURNE VIC 3000,101154,18.0,0,0,0,0,0,0,0,0,0,112,0,112,0,0,11330,725,0,0,0,0,0,0,0,0,0,0,"(-37.81588557, 144.9595846)"
Pre May 16,3000,2012.0,Melbourne (CBD),42,527-555 Bourke Street MELBOURNE VIC 3000,101155,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20443,2055,0,0,0,0,0,0,0,300,0,0,"(-37.81636454, 144.9578145)"
Pre May 16,3000,2006.0,Melbourne (CBD),51,636-638 Bourke Street MELBOURNE VIC 3000,101169,5.0,0,0,0,0,0,0,0,0,0,5,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.81628199, 144.9547125)"
Pre May 16,3000,2015.0,Melbourne (CBD),52,562-574 Bourke Street MELBOURNE VIC 3000,101173,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14881,560,0,0,0,0,325,0,0,0,341,0,"(-37.8155088, 144.9567556)"
Pre May 16,3000,2004.0,Melbourne (CBD),55,General Post Office 338-352 Bourke Street MELBOURNE VIC 3000,101193,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,5110,0,0,0,0,0,0,0,0,0,0,"(-37.81360352, 144.9632886)"
Pre May 16,3000,2010.0,Melbourne (CBD),55,314-336 Bourke Street MELBOURNE VIC 3000,101194,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.81344774, 144.9638271)"
Pre May 16,3000,2009.0,Melbourne (CBD),55,294-312 Bourke Street MELBOURNE VIC 3000,101195,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.8133313, 144.9644292)"
Pre May 16,3000,2011.0,Melbourne (CBD),56,Target Centre 222-244 Bourke Street MELBOURNE VIC 3000,101200,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8563,0,0,0,0,0,0,0,"(-37.81273571, 144.9662781)"
Pre May 16,3000,2010.0,Melbourne (CBD),56,206-218 Bourke Street MELBOURNE VIC 3000,101202,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,9000,0,0,1570,0,552,0,0,0,0,0,"(-37.81267467, 144.9668682)"
Pre May 16,3000,2009.0,Melbourne (CBD),57,140 East 134-144 Bourke Street MELBOURNE VIC 3000,101213,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6429,314,0,0,0,0,0,0,0,0,0,0,"(-37.81202281, 144.9688374)"
Pre May 16,3053,2008.0,Carlton,263,The Bellagio Carlton 63-69 Bouverie Street CARLTON VIC 3053,101242,8.0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,"(-37.80495785, 144.9613774)"
Pre May 16,3053,2012.0,Carlton,263,71-79 Bouverie Street CARLTON VIC 3053,101243,8.0,0,0,0,0,0,88,0,88,0,0,0,0,0,0,40,0,0,0,0,0,180,0,0,0,0,0,"(-37.80478096, 144.961409)"
Pre May 16,3053,2003.0,Carlton,257,117-121 Bouverie Street CARLTON VIC 3053,101245,4.0,0,0,0,0,0,39,0,39,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,"(-37.80376613, 144.9615731)"
Pre May 16,3053,2006.0,Carlton,257,139-143 Bouverie Street CARLTON VIC 3053,101248,9.0,0,0,0,0,0,93,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80322394, 144.9616992)"
Pre May 16,3053,2009.0,Carlton,242,Melbourne University 197-235 Bouverie Street CARLTON VIC 3053,101255,5.0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80103675, 144.9616182)"
Pre May 16,3051,2011.0,North Melbourne,318,Ukrainian Catholic Church 35-37 Canning Street NORTH MELBOURNE VIC 3051,101359,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.79644747, 144.9441003)"
